,index,datetime,Tmean,Tmax,Tmin,precip,precip_flg,Sunlight,wind,humidity,cloud_cover,pres,TDFK,iday_overview,inight_overview,total,SHINSEIJI,YOJI,KIDS,ADULT,ELDER,UNKNOWN,Death,Severe,Mid,Minor,other,home,work1,work2,school,indoor,outdoor,road,other_place,deltaT,Tmean_yesterday,Tmax_yesterday,Tmin_yesterday,diff_yesterday_Tmax,diff_yesterday_Tmin,diff_yesterday_Tmean,pred0,pred1,pred2,pred3,pred
612,612,2020-06-01,21.9,25.6,18.3,0.0,0,15.73,2.3,75.0,10.0,1011.3,23,52,78,3,0,0,0,1,2,0,0,0,2,1,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.300000000000001,27.1,34.1,23.9,-8.5,-5.599999999999998,-5.200000000000003,7.806772,6.2098236,6.536703,5.7127867,6.5665216
613,613,2020-06-02,24.6,30.5,20.0,0.5,0,24.28,2.3,70.0,8.5,1007.3,23,47,106,18,0,0,1,7,10,0,0,0,5,13,0,2.0,3.0,0.0,0.0,0.0,2.0,9.0,2.0,10.5,21.9,25.6,18.3,4.899999999999999,1.6999999999999993,2.700000000000003,15.272277,13.976059,14.680731,15.928428,14.964375
614,614,2020-06-03,25.0,29.4,20.3,0.0,1,18.47,1.9,60.0,10.0,1005.7,23,96,106,8,0,1,0,1,6,0,0,0,3,5,0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,9.099999999999998,24.6,30.5,20.0,-1.1000000000000014,0.3000000000000007,0.3999999999999986,6.9886017,8.351361,8.670251,7.643885,7.9135246
615,615,2020-06-04,24.3,30.2,20.3,0.0,1,21.78,2.7,64.0,8.5,1005.5,23,99,39,10,0,0,4,4,2,0,0,0,1,9,0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,9.899999999999999,25.0,29.4,20.3,0.8000000000000007,0.0,-0.6999999999999993,10.781844,9.284043,10.366912,8.248738,9.670384
616,616,2020-06-05,26.3,33.2,20.9,0.0,1,26.3,2.6,62.0,7.3,1006.0,23,97,106,26,0,0,1,6,19,0,0,0,9,17,0,8.0,2.0,2.0,1.0,1.0,3.0,7.0,2.0,12.300000000000004,24.3,30.2,20.3,3.0000000000000036,0.5999999999999979,2.0,28.550266,28.523214,25.337378,27.14639,27.389313
617,617,2020-06-06,25.8,30.0,23.1,0.0,1,16.08,2.5,56.0,9.8,1006.6,23,52,67,8,0,0,1,3,4,0,0,1,4,3,0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,6.899999999999999,26.3,33.2,20.9,-3.200000000000003,2.200000000000003,-0.5,13.949045,11.654221,13.186985,10.303832,12.273521
618,618,2020-06-07,25.0,31.8,20.5,0.0,1,28.41,3.8,57.0,4.8,1008.6,23,15,20,6,0,0,1,2,3,0,0,0,4,2,0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.3,25.8,30.0,23.1,1.8000000000000007,-2.6000000000000014,-0.8000000000000007,13.11254,15.502847,12.931733,17.50676,14.76347
619,619,2020-06-08,25.3,31.6,20.3,0.0,1,26.84,2.8,62.0,5.0,1016.1,23,15,47,18,0,0,0,5,13,0,1,0,5,11,1,9.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,11.3,25.0,31.8,20.5,-0.1999999999999993,-0.1999999999999993,0.3000000000000007,19.487812,23.412416,20.24597,18.91572,20.51548
620,620,2020-06-09,25.3,30.2,21.9,0.0,1,23.05,3.1,67.0,9.8,1019.5,23,96,86,19,0,0,1,8,10,0,0,0,7,11,1,8.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,8.3,25.3,31.6,20.3,-1.4000000000000021,1.5999999999999979,0.0,13.775846,10.375264,14.16714,14.904961,13.305802
621,621,2020-06-10,23.2,27.7,21.5,5.0,0,12.22,3.5,83.0,9.8,1016.4,23,88,96,7,0,0,0,1,6,0,0,0,4,3,0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.199999999999999,25.3,30.2,21.9,-2.5,-0.3999999999999986,-2.1000000000000014,4.1673436,3.9044487,3.5488021,3.8654966,3.871523
622,622,2020-06-11,23.8,27.0,22.2,27.5,0,6.61,4.1,95.0,10.0,1007.2,23,108,130,6,0,0,0,5,1,0,0,0,4,2,0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,4.800000000000001,23.2,27.7,21.5,-0.6999999999999993,0.6999999999999993,0.6000000000000014,3.309397,3.6577466,2.9972417,3.4108956,3.34382
623,623,2020-06-12,25.1,29.0,22.8,2.0,0,8.03,1.8,92.0,10.0,1005.9,23,88,59,13,0,0,2,3,8,0,0,1,4,7,1,5.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,6.199999999999999,23.8,27.0,22.2,2.0,0.6000000000000014,1.3000000000000007,7.408516,7.3960676,7.6877456,7.8402724,7.5831504
