datetime,Tmean,Tmax,Tmin,precip,precip_flg,Sunlight,wind,humidity,cloud_cover,pres,TDFK,iday_overview,inight_overview,total,SHINSEIJI,YOJI,KIDS,ADULT,ELDER,UNKNOWN,Death,Severe,Mid,Minor,other,home,work1,work2,school,indoor,outdoor,road,other_place,year,log_Tmean,log_total,10%_Y,25%_Y,50%_Y,75%_Y,90%_Y,ols_fitting
2020-06-01,21.9,25.6,18.3,0.0,0.0,15.73,2.3,75.0,10.0,1011.3,23.0,52.0,78.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,3.086486636822455,1.0986122886681098,-27.798,-12.771,3.9244,21.356,37.115,3.78628093703213
2020-06-02,24.6,30.5,20.0,0.5,0.0,24.28,2.3,70.0,8.5,1007.3,23.0,47.0,106.0,18.0,0.0,0.0,1.0,7.0,10.0,0.0,0.0,0.0,5.0,13.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,9.0,2.0,2020.0,3.202746442938317,2.8903717578961645,-22.43,-6.1961,11.622,28.889,44.092,10.61574105136469
2020-06-03,25.0,29.4,20.3,0.0,1.0,18.47,1.9,60.0,10.0,1005.7,23.0,96.0,106.0,8.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2020.0,3.2188758248682006,2.0794415416798357,-21.613,-6.6389,10.817,28.616,44.362,12.36749646810416
2020-06-04,24.3,30.2,20.3,0.0,1.0,21.78,2.7,64.0,8.5,1005.5,23.0,99.0,39.0,10.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,2020.0,3.190476350346503,2.302585092994046,-22.95,-8.5646,8.6474,25.536,42.262,9.46676741483526
2020-06-05,26.3,33.2,20.9,0.0,1.0,26.3,2.6,62.0,7.3,1006.0,23.0,97.0,106.0,26.0,0.0,0.0,1.0,6.0,19.0,0.0,0.0,0.0,9.0,17.0,0.0,8.0,2.0,2.0,1.0,1.0,3.0,7.0,2.0,2020.0,3.269568939183719,3.258096538021482,-12.244,2.9144,19.984,37.534,53.248,20.316977557272594
2020-06-06,25.8,30.0,23.1,0.0,1.0,16.08,2.5,56.0,9.8,1006.6,23.0,52.0,67.0,8.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2020.0,3.250374491927572,2.0794415416798357,-15.662,-0.6478,16.683,33.635,50.342,16.785904674140266
2020-06-07,25.0,31.8,20.5,0.0,1.0,28.41,3.8,57.0,4.8,1008.6,23.0,15.0,20.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2020.0,3.2188758248682006,1.791759469228055,-21.12,-5.4875,12.648,30.629,46.794,12.36749646810416
2020-06-08,25.3,31.6,20.3,0.0,1.0,26.84,2.8,62.0,5.0,1016.1,23.0,15.0,47.0,18.0,0.0,0.0,0.0,5.0,13.0,0.0,1.0,0.0,5.0,11.0,1.0,9.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,2020.0,3.2308043957334744,2.8903717578961645,-18.988,-4.1923,13.934,30.734,46.6,13.868529161635255
2020-06-09,25.3,30.2,21.9,0.0,1.0,23.05,3.1,67.0,9.8,1019.5,23.0,96.0,86.0,19.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,0.0,7.0,11.0,1.0,8.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,2020.0,3.2308043957334744,2.9444389791664403,-18.791,-3.785,13.271,30.868,45.988,13.868529161635255
2020-06-10,23.2,27.7,21.5,5.0,0.0,12.22,3.5,83.0,9.8,1016.4,23.0,88.0,96.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2020.0,3.1441522786722644,1.9459101490553132,-25.796,-10.817,6.2976,23.689,39.563,6.219996506293966
2020-06-11,23.8,27.0,22.2,27.5,0.0,6.61,4.1,95.0,10.0,1007.2,23.0,108.0,130.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2020.0,3.169685580677429,1.791759469228055,-24.939,-10.094,7.7829,25.363,41.36,7.821451539714858
2020-06-12,25.1,29.0,22.8,2.0,0.0,8.03,1.8,92.0,10.0,1005.9,23.0,88.0,59.0,13.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,1.0,4.0,7.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2020.0,3.2228678461377385,2.5649493574615367,-19.898,-4.1771,13.224,30.541,45.77,12.848861999476378
2020-06-13,22.9,24.5,21.4,22.5,0.0,2.76,1.9,97.0,10.0,1006.9,23.0,108.0,135.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2020.0,3.131136910560194,1.6094379124341003,-27.911,-11.79,5.2495,22.674,38.538,5.546787545142994
2020-06-14,24.6,28.2,21.6,10.0,0.0,6.88,2.2,94.0,10.0,1005.8,23.0,127.0,96.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2020.0,3.202746442938317,1.3862943611198906,-21.984,-6.7654,11.322,28.536,44.2,10.61574105136469
2020-06-15,27.4,32.3,23.7,0.0,0.0,20.28,3.2,64.0,9.5,1003.2,23.0,66.0,31.0,51.0,0.0,0.0,7.0,15.0,29.0,0.0,0.0,0.0,9.0,42.0,0.0,16.0,7.0,0.0,5.0,4.0,1.0,15.0,3.0,2020.0,3.3105430133940246,3.9318256327243257,-0.69709,13.692,30.623,47.907,63.846,30.92222011901515
2020-06-16,25.1,31.3,21.4,0.0,1.0,23.59,3.8,54.0,6.3,1003.1,23.0,104.0,20.0,22.0,0.0,1.0,4.0,6.0,11.0,0.0,0.0,0.0,5.0,17.0,0.0,10.0,0.0,0.0,4.0,3.0,1.0,4.0,0.0,2020.0,3.2228678461377385,3.091042453358316,-19.451,-3.975,13.117,30.884,45.444,12.848861999476378
2020-06-17,24.2,30.2,18.9,0.0,1.0,28.15,3.5,61.0,6.8,1006.0,23.0,38.0,106.0,18.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,2.0,5.0,10.0,1.0,6.0,1.0,0.0,2.0,0.0,1.0,6.0,2.0,2020.0,3.186352633162641,2.8903717578961645,-23.843,-7.87,8.7589,25.986,40.317,9.112107560351253
2020-06-18,20.8,24.1,18.3,21.5,0.0,5.07,1.9,89.0,10.0,1006.5,23.0,77.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,3.0349529867072724,1.0986122886681098,-29.513,-14.326,1.7701,19.214,34.639,2.487718686663979
2020-06-19,19.6,21.7,18.0,41.0,0.0,5.35,2.4,95.0,9.5,1000.5,23.0,116.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,2.975529566236472,0.0,-31.628,-16.427,1.6053,18.591,33.692,1.5732829358283285
2020-06-20,23.5,29.1,18.2,0.0,1.0,24.87,3.1,65.0,7.5,1007.5,23.0,96.0,42.0,14.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,5.0,9.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,3.0,1.0,2020.0,3.1570004211501135,2.6390573296152584,-25.007,-9.5241,7.3027,24.174,39.772,6.974912275518164
2020-06-21,23.9,29.4,19.0,0.0,1.0,20.72,2.6,68.0,7.3,1009.8,23.0,79.0,53.0,13.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2020.0,3.173878458937465,2.5649493574615367,-24.501,-9.0008,8.1551,25.817,39.867,8.125876706621243
2020-06-22,24.8,29.7,22.0,0.0,0.0,13.91,2.5,66.0,10.0,1006.8,23.0,88.0,53.0,7.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,2020.0,3.2108436531709366,1.9459101490553132,-21.891,-5.8672,11.669,29.655,45.136,11.458190954904758
2020-06-23,26.5,32.4,22.6,0.0,0.0,25.89,3.1,60.0,7.0,1009.2,23.0,41.0,53.0,25.0,0.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,7.0,18.0,0.0,10.0,2.0,2.0,0.0,0.0,2.0,7.0,2.0,2020.0,3.2771447329921766,3.2188758248682006,-11.124,4.9698,21.931,39.494,54.275,21.929303602202793
2020-06-24,26.0,30.7,22.8,1.5,0.0,22.53,3.6,71.0,8.5,1011.1,23.0,41.0,120.0,14.0,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,4.0,2.0,2020.0,3.258096538021482,2.6390573296152584,-14.41,1.2511,18.326,35.785,51.579,18.11800986633919
2020-06-25,24.5,27.6,22.3,11.5,0.0,8.35,2.1,92.0,10.0,1007.8,23.0,88.0,67.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2020.0,3.1986731175506815,1.791759469228055,-21.938,-7.6678,9.4245,27.481,42.702,10.218036427226904
2020-06-26,27.9,33.2,23.7,0.5,0.0,17.0,2.3,76.0,7.8,1005.6,23.0,84.0,29.0,48.0,0.0,0.0,4.0,19.0,25.0,0.0,0.0,0.0,17.0,31.0,0.0,15.0,7.0,3.0,5.0,5.0,2.0,9.0,2.0,2020.0,3.32862668882732,3.871201010907891,4.9734,20.425,37.61,54.756,70.961,37.42699987727956
2020-06-27,27.4,31.9,23.0,0.0,0.0,20.07,2.6,61.0,7.8,1006.1,23.0,52.0,82.0,24.0,0.0,0.0,1.0,6.0,17.0,0.0,0.0,1.0,9.0,14.0,0.0,15.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,2020.0,3.3105430133940246,3.1780538303479458,-1.6961,14.08,31.944,48.247,64.069,30.92222011901515
2020-06-28,24.5,28.4,21.2,38.5,0.0,13.39,3.1,78.0,8.3,1001.2,23.0,54.0,20.0,12.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,5.0,7.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,2020.0,3.1986731175506815,2.4849066497880004,-22.806,-6.6886,10.805,27.195,42.842,10.218036427226904
2020-06-29,26.0,31.5,20.7,0.0,1.0,26.79,3.3,58.0,5.0,1006.4,23.0,38.0,115.0,35.0,0.0,0.0,6.0,7.0,22.0,0.0,0.0,0.0,10.0,25.0,0.0,12.0,3.0,2.0,6.0,1.0,3.0,7.0,1.0,2020.0,3.258096538021482,3.5553480614894135,-15.098,0.40985,17.913,35.975,50.098,18.11800986633919
2020-06-30,23.6,25.9,21.1,48.0,0.0,4.04,3.7,90.0,10.0,1003.4,23.0,3.0,130.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2020.0,3.1612467120315646,1.0986122886681098,-23.767,-8.8741,8.4039,25.75,40.615,7.246388589454324
