datetime,Tmean,Tmax,Tmin,precip,precip_flg,Sunlight,wind,humidity,cloud_cover,pres,TDFK,iday_overview,inight_overview,total,SHINSEIJI,YOJI,KIDS,ADULT,ELDER,UNKNOWN,Death,Severe,Mid,Minor,other,home,work1,work2,school,indoor,outdoor,road,other_place
2016-05-01,18.8,26.5,11.7,0.0,1,22.89,2.7,46.0,5.5,1015.8,23,32,86,3,0,1,0,2,0,0,0,0,0,3,0,,,,,,,,
2016-05-02,20.2,28.4,13.6,0.0,1,25.8,2.7,56.0,5.0,1019.3,23,47,42,3,0,0,1,1,1,0,0,0,2,1,0,,,,,,,,
2016-05-03,19.6,23.6,16.5,11.5,0,14.31,5.7,72.0,9.0,1015.2,23,52,5,1,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,
2016-05-04,21.3,25.9,16.2,25.0,0,28.29,5.1,48.0,3.5,1006.7,23,15,19,4,0,0,0,3,1,0,0,0,0,4,0,,,,,,,,
2016-05-05,20.4,24.5,16.7,0.0,1,27.7,5.1,31.0,3.0,1013.9,23,24,106,2,0,0,1,1,0,0,0,0,1,1,0,,,,,,,,
2016-05-06,16.0,19.5,14.5,8.0,0,5.49,2.2,65.0,10.0,1016.9,23,77,120,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2016-05-07,17.2,23.5,13.2,1.5,0,17.03,3.2,73.0,7.8,1011.8,23,65,110,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2016-05-08,19.8,26.4,14.1,0.0,1,26.85,3.6,46.0,10.0,1016.8,23,96,106,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,
2016-05-09,17.2,20.3,14.8,12.0,0,6.07,2.4,82.0,10.0,1015.6,23,107,124,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2016-05-10,17.7,20.7,15.3,15.0,0,6.26,1.7,93.0,10.0,1007.8,23,73,118,1,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,
2016-05-11,18.8,21.4,14.9,18.5,0,6.3,4.7,81.0,8.5,1003.4,23,61,22,1,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,
2016-05-12,20.0,27.7,13.6,0.0,1,30.04,3.7,52.0,0.0,1014.4,23,14,19,5,0,0,0,0,5,0,0,0,2,3,0,,,,,,,,
2016-05-13,21.0,27.0,15.1,0.0,1,28.55,2.2,62.0,4.0,1019.1,23,24,116,8,0,0,1,2,5,0,0,0,1,7,0,,,,,,,,
2016-05-14,21.8,28.1,16.7,0.0,1,25.85,3.3,58.0,5.3,1021.8,23,96,55,8,0,1,3,2,2,0,0,0,1,7,0,,,,,,,,
2016-05-15,20.1,24.3,17.6,0.0,1,19.0,3.2,66.0,8.3,1020.6,23,75,55,3,0,0,0,2,1,0,0,1,1,1,0,,,,,,,,
2016-05-16,19.2,21.2,17.4,6.5,0,4.47,4.8,74.0,10.0,1013.4,23,52,120,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,
2016-05-17,18.0,23.8,13.3,25.0,0,21.56,4.1,69.0,7.5,1011.4,23,98,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2016-05-18,20.2,27.6,12.6,0.0,1,30.08,2.8,49.0,1.8,1017.5,23,15,19,4,0,0,1,2,1,0,0,0,2,2,0,,,,,,,,
